id, name, latitude, longitude, address, area, city,cost, rating, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
531,Black Haven,19.2285836,72.8477169,"Floor 4, Emperor Building, Babhai Naka Junction, L.T Road,Borivali West, Mumbai",Borivali West, Mumbai,1400,3.4,no,yes,yes,no,yes,no
532,The Serial Griller,19.123729,72.826603,"Vibhavari Building, N Dutta Marg,4 Bungalows, Mumbai 4 Bunglows",4 Bungalows, Mumbai,600,4.4,yes,no,no,no,no,no
533,Goa Portuguesa,19.0319314,72.8402429,"Goa Portuguesa Restobar, Nr. Hinduja Hospital, Matunga (W),Mahim, Mumbai",Mahim, Mumbai,1300,4.1,yes,yes,yes,no,yes,no
534,Argileh,19.07108757,72.83826716,"Rooftop, Bhavya Plaza, 5th Street Road, NearKharStation, Khar West, Khar, Mumbai",Khar, Mumbai,1100,3.7,no,yes,yes,no,yes,yes
535,The United Sports Bar & Grill,19.10011766,72.91643076,"Ground Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,1600,3.7,yes,yes,yes,no,no,no
536,Kill No Kalorie,19.19248057,72.97091212,"Naupada, Thane WestShop 8, Kulkarni CHS Building, Ghantali Devi Road,","Naupada, Thane West", Mumbai,750,4.6,yes,no,no,yes,no,no
537,St. Anthony's,19.2039009,72.9759058,"Khopat, Thane WestGala No 1 + 2, Kalika Towers, Kolbad Road,","Khopat, Thane West", Mumbai,600,4,yes,no,no,no,no,no
538,The Bagel Shop,19.06324886,72.82487053,"Carter Road, Bandra West30, Pali Mala Road,","Carter Road, Bandra West", Mumbai,900,3.9,yes,yes,no,yes,no,no
539,Corniche - At The Waterfront,19.07042625,72.82261882,"Carter Road, Bandra WestB 15, Gagangiri CHS,","Carter Road, Bandra West", Mumbai,1800,3.5,no,no,yes,no,yes,no
540,Royale Masterchef Finedine and Bar,19.25869593,72.85335526,"Gagangiri Building, Near New Flyover,  Kanderpada,Dahisar West, Mumbai",Dahisar West, Mumbai,1700,3.7,yes,yes,yes,no,yes,no
541,Soam,18.95744298,72.80893352,"Ground Floor, Sadguru Sadan, Opposite Babulnath Temple,Chowpatty, Mumbai",Chowpatty, Mumbai,700,3.9,yes,no,no,no,yes,no
542,Kuai Kitchen,18.91957,72.829543,"16/A, Cusrow Baug, Shahid Bhagat Singh Road,Colaba, Mumbai",Colaba, Mumbai,1500,4.2,yes,no,no,no,no,no
543,Food And Taste Theory,19.07493786,72.90509608,"Unit 12-13,C-15, Vikrant Building, Vikrant Circle,Jhulelal Chowk,Ghatkopar East, Mumbai",Ghatkopar East, Mumbai,800,4.4,yes,no,no,no,no,no
544,Mantra Dining Bar,19.12332965,72.91312225,"Ground Floor,PowaiPlaza, Powai, Mumbai",Powai, Mumbai,2000,3.8,yes,no,yes,no,no,no
545,Popular,19.0057779,72.83095,"Saurabh Building, Near Deepak Cinema, NM Joshi Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,350,3.9,yes,no,no,no,no,no
546,Utsav Restaurant,19.2074025,72.97094141,"Majiwada, Thane WestOpposite Eastern Express Highway, Runwal Nagar,","Majiwada, Thane West", Mumbai,350,3.6,no,no,no,no,no,no
547,Melting Pot,19.1011978,72.8271649,"JuhuResidency Boutique Hotel, 148 B, Juhu Tara Road, Juhu, Mumbai",Juhu, Mumbai,1900,4,yes,no,yes,yes,no,no
548,Stir Fry Grill,19.18094841,72.83597488,"Near Toyata Showroom, Malad Link Road,Malad West, Mumbai",Malad West, Mumbai,850,4.1,yes,no,no,no,no,no
549,Ferry Wharf,19.04950355,72.82927874,"Reclamation, Bandra WestUnit 11, 12, Building 3, ONGC Lane, Opposite Lilavati Hospital,","Reclamation, Bandra West", Mumbai,1500,3.9,no,no,no,no,yes,no
550,Chenab,19.07543439,72.98511643,"133 A, Near Sagar Vihar, Sector 8,Vashi, Navi Mumbai",Vashi, Mumbai,1200,3.5,yes,no,yes,no,yes,yes
551,Chocolateria San Churro,19.06192204,72.83434276,"Linking Road, Bandra West11, Silver Pearl, Waterfield Road,","Linking Road, Bandra West", Mumbai,800,4.3,no,no,no,yes,yes,no
552,Birista - Biryanis & Kebabs,19.0105147,73.0325605,"Shop 12, Bhramma, Plot 53, Opposite Bhoomi Mall, Palm Beach Road, Sector-15,CBD-Belapur, Navi Mumbai",CBD-Belapur, Mumbai,600,4.4,yes,no,no,no,no,no
553,MYXX,19.10891358,72.82542609,"Ground Floor, Navratan Apartment, A.B. Nair Road, NearJuhuPost Office, Juhu, Mumbai",Juhu, Mumbai,2700,4,no,yes,yes,yes,yes,no
554,Silver Beach Cafe,19.11393889,72.82420278,"Jaldarshan Building, Near Hare Rama Hare Krishna Temple, Gandhi Gram Road,Juhu, Mumbai",Juhu, Mumbai,2000,3.9,yes,no,yes,no,no,no
555,Icecream Factory & Shahi Durbar,19.160594,72.94593,"G18 R Galleria, Runwal Greens Next To Fortis Hospital, Goregaon,Mulund West, Mumbai",Mulund West, Mumbai,400,3.7,no,no,no,no,no,no
556,The London Shakes,19.0801387,72.9030476,"Khau Galli,Ghatkopar East, Mumbai",Ghatkopar East, Mumbai,400,3.4,no,no,no,no,no,no
557,Mainland China,19.1154478,72.90858898,"City Park, Floor 1, Central Avenue, Near D Mart, Hiranandani Business Park,Powai, Mumbai",Powai, Mumbai,1800,3.9,yes,no,yes,no,no,no
558,Cafe Churchill,18.9199764,72.83017561,"East West Court Building, Opposite Cusrow Baug, Shahid Bhagat Singh Road,Colaba, Mumbai",Colaba, Mumbai,1200,4.1,yes,no,no,no,no,no
559,B Bhagat Tarachand,18.95182784,72.83060074,"69/75, Mumbadevi Commercial Center, Zaveri Bazar,Marine Lines, Mumbai",Marine Lines, Mumbai,550,3.9,yes,no,no,no,no,no
560,1 BHK - Brew House Kitchen,18.95182784,72.83060074,"Oshiwara, Andheri WestGround Floor, Next to Meera Towers, BST Colony Road,","Oshiwara, Andheri West", Mumbai,1000,3.4,no,no,no,no,no,no
561,Pair A Dice Cafe,19.14819011,72.83144597,"Unit 53, 1st Floor, Oshiwara Link Plaza, New Link Road,Oshiwara, Andheri WestLandmark: above Firebowl resturant","Oshiwara, Andheri West", Mumbai,700,4,yes,no,no,yes,no,no
562,Flag's,19.18938474,72.84192871,"SBS Food Court, Asiad CHS, BJ Patel Road, Near Liberty Garden,Malad West, Mumbai",Malad West, Mumbai,1200,3.7,yes,no,no,no,yes,no
563,Barworks Eatery & Bar,19.16895,73.000572,"Liberty Towers, Next to Reliable Plaza,Thane Belapur Road,Airoli, Navi Mumbai",Airoli, Mumbai,1600,3.7,yes,yes,yes,yes,yes,no
564,24 Lounge & Bistro,19.06983559,72.83830505,"Empressa Building, 2nd Road, Near Hotel Jewel Palace,KharWest, Khar, Mumbai",Khar, Mumbai,1250,4.1,no,yes,no,no,yes,no
565,Northern Tadka,19.18941229,72.83445742,"Jagdamba Complex, Above Jugheads, New Link Road,Malad West, Mumbai",Malad West, Mumbai,1000,3.7,yes,yes,yes,no,yes,no
566,Jimmy Boy,18.9308472,72.8348851,"Vikas Building, 11 Bank Street, Off Horniman Circle, Lane opposite cheetah gate,Fort, Mumbai",Fort, Mumbai,800,3.8,yes,no,no,no,no,no
567,Gokul,18.92287333,72.83243705,"10, Tullock Road, Apollo Bunder,Colaba, Mumbai",Colaba, Mumbai,1200,3.4,no,no,yes,no,no,no
568,Cakes N Chemistry,19.175577,72.943505,"Shop 5, Meghal Industrial Estate, Devidayal Road,Mulund West, Mumbai",Mulund West, Mumbai,550,4.6,yes,no,no,yes,no,no
569,The Cafe Cabana,19.081913,73.005142,"3rd Floor, Sector 19 C, Plot 25, Next to Satara Plaza, Palm Beach Road,Vashi, Navi Mumbai",Vashi, Mumbai,650,4.3,no,yes,yes,yes,no,yes
570,Live It Up,19.08315718,73.00631192,"Shop 59, Satra Plaza, Behind Mercedes Showroom, Sector 19D, Palm Beach Road,Vashi, Navi Mumbai",Vashi, Mumbai,1000,3.7,no,yes,yes,yes,no,no
571,The Liquor Factory,19.13094251,72.83103157,"Andheri Lokhandwala, Andheri WestK-4/129, New Link Rd, Sahayog Nagar, Bhudargarh Colony,","Andheri Lokhandwala, Andheri West", Mumbai,1000,3.7,no,no,yes,yes,yes,no
572,The Hill Green,19.111187,72.917862,"Unit 2, Kailash Business Park, Powai-VikhroliLink Road, Vikhroli, Mumbai",Vikhroli, Mumbai,1200,3.6,yes,yes,yes,yes,yes,no
573,Silli Chilli,19.14254468,72.82514244,"Andheri Lokhandwala, Andheri WestShop 4, Sunswept CHS, Opposite Hazel Salon, Lokhandwala Complex,","Andheri Lokhandwala, Andheri West", Mumbai,700,3.9,yes,no,no,no,no,no
574,Masque,18.98986934,72.82564167,"Unit 3, Laxmi Woollen Mills, Shakti Mills Lane, Dr. E Moses Road,Mahalaxmi, Mumbai",Mahalaxmi, Mumbai,6500,4.2,no,no,yes,yes,yes,no
575,El Toro,19.04929343,72.82910574,"Reclamation, Bandra WestShop 7 & 8, ONGC Lane, Opposite Lilavati Hospital,","Reclamation, Bandra West", Mumbai,1600,4.1,no,yes,yes,yes,no,no
576,The Flip Bar,19.21230081,72.87155405,"3rd Floor, Vishnu Shivam Mall, Thakur Village,Kandivali East, Mumbai",Kandivali East, Mumbai,1000,3.6,no,yes,yes,yes,yes,no
577,The Union Bar & Eating House,19.07326416,72.99824316,"Plot 10, Nirman Vyapar Kendra, Sector 17,Vashi, Navi Mumbai",Vashi, Mumbai,1200,3.8,yes,yes,yes,no,yes,no
578,Chaitanya,19.01817224,72.83273242,"3, chinchh bhatt chawl, opp aagar bazar ,SK Bole Road, Near Siddhivinayak Temple,Dadar West, Mumbai",Dadar West, Mumbai,600,4.2,yes,no,no,no,no,no
579,Dhadoom,19.22906694,72.85351083,"Shop 13, Natraj Building, Off Sodawala Lane, Chamunda Circle,Borivali West, Mumbai",Borivali West, Mumbai,400,4.1,yes,no,no,no,no,no
580,Pi Pizzeria,19.07111482,72.83903327,"Shop 7, Darvesh Grand, Next to Bharat Bank, 4th Road,Khar, Mumbai",Khar, Mumbai,1500,4.2,yes,no,no,no,no,no
581,Shree Thaker Bhojanalay,18.95112831,72.82830242,"31, Dadisheth Agyari Lane, OffKalbadeviRoad, Kalbadevi, Mumbai",Kalbadevi, Mumbai,1200,4.8,no,no,no,no,no,no
582,Ice Cream Factory,19.0709098,72.82332558,"Carter Road, Bandra WestB-Wing, Gagangiri Premises,","Carter Road, Bandra West", Mumbai,300,3.7,no,no,no,no,no,no
583,Flipside Burgers & More,19.2154127,72.8677598,"Shop 34,36,42 & 43, Ground Floor, Annex Mall, Opposite Dheeraj Enclave Ganpati Mandir,Borivali East, Mumbai, Mumbai",Borivali East, Mumbai,1000,3.7,yes,no,no,yes,no,no
584,The Yoga House,19.06570854,72.82480918,"Carter Road, Bandra WestNargis Villa (Water Bungalow), Sherley Rajan Road, Opposite ICICI Bank,","Carter Road, Bandra West", Mumbai,1200,3.9,yes,no,no,no,no,no
585,Cafe 2.0,19.08892155,73.00451282,"Shop 24, Manek Complex, Near Health Juice Centre, Sector 29,Vashi, Navi Mumbai",Vashi, Mumbai,350,3.6,no,no,no,yes,no,no
586,LMNOPQ,19.06807628,72.83244643,"Shop No. 6, Mangal Bhavana,KharPali Road, Khar, Mumbai",Khar, Mumbai,1200,3.7,yes,no,no,yes,yes,no
587,Lima,19.0546437,72.8499325,"2 North Avenue, Maker Maxity,Bandra Kurla Complex, Mumbai",Bandra Kurla Complex, Mumbai,2500,4.3,no,yes,yes,no,yes,no
588,Cafe Haqq Se,19.0059098,72.826911,"Ground Floor, Trade View Building Oasis Complex, Gate 4, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel, Mumbai,2000,3.9,no,yes,yes,yes,yes,no
589,Bistro at Coffee Break,19.05051292,72.82652847,"Bandstand, Bandra West12, 86 , Pearl Haven Apartments, Chapel Road,  Mount Mary,","Bandstand, Bandra West", Mumbai,700,3.9,yes,yes,no,no,no,no
590,Navjeevan,19.0479027,72.8933154,"Opposite Navjeevan Society, Samrat Ashok Nagar, R.C. Marg,Chembureast, Mumbai.",Chembur, Mumbai,450,3.7,yes,no,no,no,no,no
591,Mao Family Restaurant,18.94444207,72.82930557,"534/536, Opposite Sunlight, Near Metro Theatre, Dhobitalao, Lohar Chawl,Kalbadevi, Mumbai",Kalbadevi, Mumbai,600,3.5,yes,no,no,no,no,no
592,Tote On The Turf,18.98005826,72.82024506,"MahalaxmiRace Course, Gate 5 & 6, Keshav Rao Khadye Marg, Mahalaxmi, Mumbai",Mahalaxmi, Mumbai,1800,3.6,no,no,yes,no,yes,no
593,The Lumber Bar & Co.,19.010132,73.037046,"Mahavir Icon, Showroom 1/2/3, Plot 89&90, Sector 15,CBD-Belapur, Navi Mumbai",CBD-Belapur, Mumbai,1200,3.7,yes,yes,yes,yes,no,no
594,Spice Republic,19.22980834,72.85352994,"Shop 5, Ajanta Estate, Market Road,Borivali West, Mumbai",Borivali West, Mumbai,1000,4.2,yes,no,no,no,yes,no
595,Swati Snacks,18.9242664,72.8246624,"Dalamal Tower, Free Press Journal Marg,Nariman Point, Mumbai",Nariman Point, Mumbai,800,4.3,yes,no,no,no,no,no
596,Rainforest Resto-Bar,19.08638618,72.88916677,"3, Phoenix Market City, LBS Road,Kurla, Mumbai",Kurla, Mumbai,1800,3.7,yes,yes,yes,no,no,no
597,Rainforest Resto-Bar,19.017721,73.0441961,"16-23, Kukreja Centre, Sector 11, NMMC Building,CBD-BelapurEast, CBD-Belapur, Navi Mumbai",CBD-Belapur, Mumbai,1800,3.7,yes,yes,yes,no,yes,no
598,Zaffran,19.0998566,72.91667517,"1st Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,1400,3.5,yes,no,yes,yes,no,no
599,Village - The soul of India,19.09977518,72.91717641,"3rd Floor, North Wing, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,1000,3.5,no,no,no,no,no,no
600,Rajdhani,19.09947072,72.91604787,"3rd Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,950,3.7,yes,no,no,no,no,no
601,Punjab Grill,19.09975522,72.91708086,"3rd Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,1800,3.9,yes,no,yes,yes,no,no
602,The United Sports Bar & Grill,19.10011766,72.91643076,"Ground Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,1600,3.7,yes,yes,yes,no,no,no
603,TGI Fridays,19.10011228,72.91645255,"Ground Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,2500,3.4,yes,no,yes,no,no,no
604,Urban Tadka,19.0993592,72.91624904,"3rd Floor, R City Mall, LBS Marg,Ghatkopar West, Mumbai",Ghatkopar West, Mumbai,1000,3.8,yes,no,yes,no,no,no
605,The Elbo Room,19.06627069,72.8334536,"Sant Kutir Apartments, Behind Vijay Sales,KharWest, Off Linking Road, Khar, Mumbai",Khar, Mumbai,2000,3.5,no,yes,yes,no,yes,no
606,Tea and Conversations,19.1756038,72.9435902,"G-3, Meghal Industrial Estate, Devidayal Road, Near Firestation,Mulund West, Mumbai",Mulund West, Mumbai,600,4.5,no,no,no,yes,no,no
607,39B Terrace,18.9546161,72.8146832,"39-B,ChowpattySeaface, Chowpatty, Mumbai",Chowpatty, Mumbai,1500,3.5,no,yes,yes,yes,yes,yes
608,1701 Gastropub,18.9546161,72.8146832,"Near Options Mall,Juhu, Mumbai",Juhu, Mumbai,1200,3.3,no,no,yes,no,no,no
609,Farmhouse Garden Family Restaurant & Bar,19.34464939,72.81259453,"Tamtalao, Next to Slema Chicken Center, Mulgaon,VasaiWest, Vasai, Mumbai",Vasai, Mumbai,1200,4,yes,yes,yes,yes,yes,yes
610,Exhale,18.992336,72.823901,"Ground Floor, 11/12, Raghuvanshi Mills, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,1100,3.8,yes,no,no,no,no,no
611,Brew n Chew,19.14670434,72.82925695,"Shop 1, Samartha Vaibhav Society, Opposite Tarapore Towers, Next to IDBI Bank,Andheri Lokhandwala, Andheri West, Mumbai","Andheri Lokhandwala, Andheri West", Mumbai,800,3.7,yes,yes,no,yes,no,no
612,Score Sports Bar,19.18643008,72.83559434,"107, 1st Floor, Palm Spring, Above Croma, Link Road,Malad West, Mumbai",Malad West, Mumbai,1600,3.7,no,yes,yes,yes,yes,no
613,House of Mandarin,19.054937,72.826686,"Hill Road, Bandra WestClassic Corner Building, Next to Holy Family Hospital,","Hill Road, Bandra West", Mumbai,2100,3.4,no,no,yes,no,no,no
614,PizzAah! District,19.20714706,72.83158612,"4, Sanghvi Premises Soc. Ltd, M. G. Road,  near RNA complex & Hindustan Naka,Kandivali West, Mumbai",Kandivali West, Mumbai,650,4.1,yes,yes,no,yes,yes,no
615,The Super Happy Pop-Up At The Barking Deer,19.0008968,72.8296575,"Mathuradas Mill Compound, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,1700,3.7,no,yes,yes,no,yes,no
616,Da Capo Cafe & Bistro,19.0320659,73.0668488,"Shop 12 & 13, Bhoomi Heights, Plot 5 & 6, Sector-8,Kharghar, Navi Mumbai",Kharghar, Mumbai,850,4.2,yes,yes,no,no,no,no
617,Euphoria - The Gastro Lounge,19.215482,72.86791261,"Top Floor, Annex Mall, Western Express Highway, Above Carnival Cinemas,Borivali East, Mumbai",Borivali East, Mumbai,1000,3.7,no,yes,no,no,no,yes
618,Khiva,19.08686208,72.8890283,"F-32, First Floor, Phoenix Market City, LBS Marg,Kurla, Mumbai",Kurla, Mumbai,1900,4.4,yes,no,no,no,no,no
619,Gluttony,19.11276109,72.87322305,"Kadamwadi, Collector Chawl, Near Gajanan Mill, Pipeline,,Marol, Mumbai",Marol, Mumbai,300,4.5,yes,no,no,no,no,no
620,Landmark Restaurant Veg Diet,19.19267277,72.83440411,"Landmark Building, Link Road, Mithchowki,Malad West, Mumbai",Malad West, Mumbai,650,3.5,yes,no,no,no,yes,no
621,Fly High,19.022539,73.017869,"S-49, 2nd Floor,SeawoodsGrand Central Mall, Seawoods, Navi Mumbai",Seawoods, Mumbai,1200,3.1,yes,yes,yes,yes,no,no
622,Glasshouse - Hyatt Regency Mumbai,19.1032411,72.8708223,"Hyatt Regency Mumbai, Airport Sahar Road, Andheri East,Chakala, Mumbai",Chakala, Mumbai,4500,3.9,no,no,yes,yes,yes,no
623,Domino's Pizza,19.11592837,72.90897857,"G5, Ground Floor, City Park, Hiranandani Business Park,Powai, Mumbai",Powai, Mumbai,700,2.9,yes,no,no,no,no,no
624,Bagdadi,18.9227544,72.83242296,"11, Tulloch Road, Behind Taj Mahal Hotel,Colaba, Mumbai",Colaba, Mumbai,400,3.8,no,no,no,no,no,no
625,Lion Heart,18.97869907,72.83395149,"Dr. B A Marg, Opposite Rani Baug,BycullaEast, Byculla, Mumbai",Byculla, Mumbai,1200,4.1,no,yes,yes,yes,yes,no
620,Gluttony,19.11276109,72.87322305,"Kadamwadi, Collector Chawl, Near Gajanan Mill, Pipeline,,Marol, Mumbai",Marol, Mumbai,300,4.5,yes,no,no,no,no,no
621,Landmark Restaurant Veg Diet,19.19267277,72.83440411,"Landmark Building, Link Road, Mithchowki,Malad West, Mumbai",Malad West, Mumbai,650,3.5,yes,no,no,no,yes,no
626,The Bombay Churros,19.07089047,72.8233581,"A/3, Gagangiri co op society ltd, Off Carter Road, Khar Danda, Khar (West) 400052 Mumbai, India",Malad West, Mumbai,650,4.2,no,no,no,no,no,no
627,Tapri Shapri,19.1408934,72.8310852,"Andheri Lokhandwala, Andheri WestE-4 A, Ground Flloor, Crystal Plaza, Opposite White Room,","Andheri Lokhandwala, Andheri West", Mumbai,400,3.6,yes,no,no,yes,no,no
628,Shreeji's The Fusion Kitchen,19.23419,72.855141,"Chamunda Circle, Sardar Vallabhbhai Patel Road, Himmat Nagar,Borivali West, Mumbai",Borivali West, Mumbai,200,4.1,no,no,no,no,no,no
629,Hometown Cafe,19.13682843,72.8326761,"Oberoi Chambers 1, Tanishq Showroom, Off New Link Road,Veera Desai Area, Mumbai",Veera Desai Area, Mumbai,1500,3.7,yes,yes,yes,no,no,no
630,Basil n' Spice,19.16105915,72.94482697,"G 19-20,R Galleria, Next to Fortis Hospital, Runwal Green, Goregaon-Mulund Link Road,Mulund West, Mumbai",Mulund West, Mumbai,1000,4.2,yes,no,no,yes,no,no
631,Farmhouse Sea N Sand,19.32949,72.804776,"Pachubander,VasaiWest, Vasai, Mumbai",Vasai, Mumbai,1100,4.1,yes,yes,yes,yes,yes,yes
632,Peco Peco,19.12735105,72.91860402,"Shop 3, Hiranandani,Powai, Mumbai.",Powai, Mumbai,700,3.5,yes,no,no,no,no,no
633,Wok Hei,19.0523972,72.899843,"Sunder Apartment, Sion Trombay Road, Opposite Diamond Garden,Chembur, Mumbai",Chembur, Mumbai,800,3.5,yes,no,yes,no,no,no
634,Open House Cafe And Bar,19.02573066,72.83576868,"Amar Kunj, Cadel Road,Dadar Shivaji Park, Mumbai",Dadar Shivaji Park, Mumbai,1200,3.5,yes,no,yes,yes,yes,no
635,Mumbai Bistro - The Café,19.01637149,72.8351206,"Shop 3, Sugee Sadan Building, Next to Portuguese Church, Gokhale Road,Dadar West, Mumbai",Dadar West, Mumbai,700,3.9,yes,no,no,no,no,no
636,Jamie's Pizzeria by Jamie Oliver,18.9953963,72.8233989,"Highstreet Phoenix,Lower Parel, Mumbai",Lower Parel, Mumbai,800,3.8,yes,no,yes,no,no,no
637,Pravas,19.005367,72.826014,"4, Kamala Mills Compound,Lower Parel, Mumbai",Lower Parel, Mumbai,1200,3.6,yes,no,yes,no,no,no
638,Curry Tales,19.07110087,72.8381934,"Shop 5, Bhavya Plaza, 5th Road, Next to Kotak Mahindra Bank & Midas Salon,Khar, Mumbai",Khar, Mumbai,1150,4.2,yes,no,no,yes,no,no
639,Chai Pe Charcha,19.0023987,72.8296674,"Shop 11, Madhav Bhuvan Building Gate 2, Opposite Kamala Mills, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,450,3.9,yes,no,no,no,no,no
640,Hymus Restobar,19.15112265,72.83182919,"Oshiwara, Andheri West20-21-22 Meera Tower, New Link Road,","Oshiwara, Andheri West", Mumbai,1200,3.7,yes,yes,yes,yes,yes,no
641,The Boston Butt,18.9274888,72.8322425,"1st floor, Rampart Row, Near Rhythm House, Kalaghoda,Fort, Mumbai",Fort, Mumbai,1650,4.1,no,no,yes,no,yes,no
642,Reise All Day Bar & Kitchen,19.107841,72.8616571,"45, Tarun Bharat CHS, Dr Karnjiya Road,Chakala, Mumbai",Chakala, Mumbai,1200,3.7,no,yes,yes,yes,yes,no
643,The Goose & Gridiron,19.107841,72.8616571,"FortOpp Sterling Theatre, Murzban Road, Azad Maidan,",Fort, Mumbai,1400,3.8,no,no,yes,no,no,no
644,Indiana Water's,19.2026481,72.9655721,"Khopat, Thane West4th Floor, Korum Mall, Near Cadbury Compound,","Khopat, Thane West", Mumbai,1100,3.4,yes,yes,yes,no,no,no
645,Soul Fry,19.0626572,72.8280844,"Pali Hill, Bandra WestPali Mala Road, Opposite Pali Vegetable Market,","Pali Hill, Bandra West", Mumbai,1000,3.7,yes,no,yes,no,yes,no
646,Khasiyat The Paratha House,19.1005945,72.8396509,"21, Dashrathlal Joshi Road,Vile Parle West, Mumbai",Vile Parle West, Mumbai,600,3.8,yes,no,no,no,no,no
647,Food Stop,19.05816937,73.00356232,"Seawoods Garden Society,Sector-17,Sanpada, Navi Mumbai, Palm Beach Road",Sanpada, Mumbai,350,4,yes,no,no,no,no,no
648,Sizzle House,19.03040988,72.83852767,"1/2, 237, Bhagirathi Sadan, Opposite Yes Bank Cadel Road,Dadar Shivaji Park, Mumbai",Dadar Shivaji Park, Mumbai,1200,3.7,yes,no,no,yes,no,no
649,Pancham Puriwala,18.9379889,72.8357736,"8-10, Perin Nariman Street,Fort, Mumbai",Fort, Mumbai,200,3.9,no,no,no,no,no,no
650,pedalpower,19.38373784,72.82493055,"Shop 2,3,4,5 Ram Rahim Towers Samata Nagar,Vasai, Mumbai",Vasai, Mumbai,200,3.9,no,no,no,yes,no,no
651,Pritam Da Dhaba,19.01667928,72.84610055,"Hotel Midtown Pritam, Pritam Estates,Dadar East, Mumbai",Dadar East, Mumbai,1200,3.5,yes,no,yes,no,yes,no
652,Khyber,18.9281226,72.831827,"145, MG Road, Kala Ghoda,Fort, Mumbai",Fort, Mumbai,2600,3.9,yes,no,yes,yes,yes,no
653,BusaGo,19.11723037,72.90743195,"Lakeview Developers, City Park, Olympia Building, Hiranandani Garden,Powai, Mumbai",Powai, Mumbai,800,3.5,yes,no,no,no,no,no
654,KA.FE,19.12830419,72.82918453,"Shop 4, Sai Kanwal Complex, Opposite Westside, Below D N Nagar Metro Station, Next to Airtel Gallery,4 Bungalows, Andheri West, Mumbai",4 Bungalows, Mumbai,500,4,yes,no,no,yes,no,no
655,SamBar Pub & Kitchen,19.07201157,72.8393729,"8 Vora Building, 3rd Road, opp Simran Plaza,KharWest. Mumbai, Khar, Mumbai",Khar, Mumbai,1250,3.9,yes,yes,yes,no,yes,no
656,Pincuk,19.1610879,72.9916226,"Shop 1, Sul Building, Sector 20D,Airoli, Navi Mumbai",Airoli, Mumbai,700,4.5,yes,no,no,no,no,no
657,Samrat Restaurant,18.93070089,72.82627601,"Ground Floor, Prem Court, JT Road,Churchgate, Mumbai",Churchgate, Mumbai,900,3.8,yes,no,no,no,no,no
658,Indigo Delicatessen,18.9943692,72.8237951,"1st Floor, Palladium Mall, Senapati Bapat Marg,Lower Parel, Mumbai",Lower Parel, Mumbai,2100,4,yes,no,yes,yes,no,no
659,Trishna,18.9286064,72.8321963,"7, Sai Baba Marg, Kala Ghoda,Fort, Mumbai",Fort, Mumbai,2200,4.1,no,no,yes,no,yes,no
660,Bhaijaanz,19.06757149,72.82520816,"Carter Road, Bandra WestG2, White Rose Building, Rizvi Complex, Sherly Rajan Road, Off Carter Road,","Carter Road, Bandra West", Mumbai,900,3.5,yes,yes,no,no,no,no
661,Dewano Daa Dhaba,19.14071963,72.81231478,"Versova, Andheri WestOff Yari Road,","Versova, Andheri West", Mumbai,900,3.8,yes,no,no,yes,no,no
662,Izaya,18.92552633,72.81922214,"NCPA, Gate 2,Nariman Point, Mumbai",Nariman Point, Mumbai,2500,2.7,no,no,yes,no,no,no
663,7th Heaven,19.1731203,72.95720067,"Shop 7, Shanti Bhavan, Opposite Station J.S Dosa Road,Mulund West, Mumbai",Mulund West, Mumbai,400,3.6,yes,no,no,no,no,no
664,Bunkerzzz Cafe,19.21207507,72.87441462,"Shop 42, Evershine Millenium Park 38, Near Rama's Hotel, Thakur Village,Kandivali East, Mumbai",Kandivali East, Mumbai,500,3.7,yes,no,no,no,no,no
665,4 Bro's Pizza,19.2117775,72.87480078,"Shop 52, Jupiter EMP, Phase 1, Evershine Millennium Paradise,Kandivali East, Mumbai",Kandivali East, Mumbai,600,4.1,yes,no,no,no,no,no
666,Sukh Sagar,18.95592474,72.81324718,"Marina Mansion, SVP Road,Chowpatty, Mumbai",Chowpatty, Mumbai,600,3.7,no,no,no,no,no,no
667,Everyday Anday,19.19082073,72.97105294,"Naupada, Thane WestShop no.1, Shree sadan building, Ghantali Road,","Naupada, Thane West", Mumbai,500,4.3,yes,no,no,no,no,no
668,Tantra,18.95815263,72.8109948,"9, Hughes Road,Chowpatty, Mumbai",Chowpatty, Mumbai,1000,3.6,no,no,yes,no,yes,no
